0,New Make for St Andrews Day,50,50cL,Propina Pale Malt,n/a,0,0,1,Ceramic bottle with black label / bottled 09Dec2014 released 19Dec2014,2014,35,n/a,396
1,New Make for Hogmanay,50,50cL,Pale Malt,n/a,0,0,1,Ceramic bottle with blue label / Chocolate Malt / bottled 24Dec2014 released 26Dec2014,2014,35,5060334030437,448
2,New Make for Burns Night,50,50cL,Pale Malt / Crystal Malt / Brown Malt,n/a,0,0,1,Ceramic bottle with red label/ bottled 15Jan2015 released 17Jan2015,2015,35,5060334030420,446
3,Year 1 Spirit for St Andrews Day,43,20cL,Golden Promise Pale Malt,French Virgin oak casks,0,0,1,n/a,2015,35,5060334030680,500
4,Year 1 Spirit for Hogmanay,43,20cL,Golden Promise Pale Malt / Chocolate Malt,n/a,0,0,1,n/a,2015,35,n/a,500
5,Year 2 Spirit for Hogmanay,43,20cL,n/a,Virgin American oak octaves,0,0,1,n/a,2016,35,5060334031038,500
6,Year 1 Spirit for Burns Day,43,20cL,Golden Promise Pale Malt / Crystal Malt / Brown Malt,n/a,0,0,1,n/a,2016,35,n/a,500
7,Year 2 Spirit for St Andrews Day,43,20cL,Golden Promise Pale Malt,French Virgin oak casks,0,0,1,n/a,2016,35,5060334031021,500
8,Year 2 Spirit for Burns Day,43,20cL,n/a,Virgin American oak octaves,0,0,1,n/a,2017,35,5060334031045,500
9,The Art of the Blend No 1,43,70cL,n/a,Virgin American oak octaves / first-fill ex-Bourbon barrels,0,1,0,n/a,2017,40,5060334030925,2400
10,The Art of the Blend No 2,43,70cL,n/a,Virgin French oak octaves / first-fill ex-Bourbon barrels / Islay barrels,0,1,0,n/a,2017,40,5060334031932,1400
11,The Art of the Blend No 3,43,70cL,n/a,Islay barrels,0,1,0,n/a,2017,40,5060334031949,350
12,The Art of the Blend No 4,43,70cL,n/a,Ex-port European oak casks,0,1,0,n/a,2017,40,5060334031533,1100
13,Celtic 1967,43,70cL,n/a,Blend of Irish and Scotch whisky / Portuguese Wine cask finish,0,1,0,Celtic Lisbon Lions 1967 50th Anniversary Release,2017,50,5060334031106,1967
14,SMWS 136.1 (3yo),61.2,70cL,n/a,1st fill hogshead / ex-oloroso,1,0,0,'Effervesence and Enlightenent',2018,65,n/a,297
15,SMWS 136.2 (3yo),60.4,70cL,n/a,First Fill Ex-Oloroso Sherry Hogshead,1,0,0,'Paradise in a Paradis',2018,65,n/a,298
16,Double Treble,47,70cL,n/a,"Bourbon and ex-oloroso, finished in Irish whiskey",0,1,0,Celtic FC Double Treble (blended),2018,50,5060334031885,800
17,Inaugural Release,47,70cL,n/a,French Virgin Oak / US Virgin Oak / PX,1,0,0,Wooden box,2018,500,5060334031908,300
18,Hip Flask Series No 1,47,20cL,Pale Malt,French Virgin Octave,1,0,0,n/a,2018,25,5060334031915,220
19,Hip Flask Series No 2,47,20cL,Chocolate Malt,US Virgin Oak Octave,1,0,0,n/a,2018,25,5060334031922,220
20,Hip Flask Series No 3,47,20cL,Brown Crystal Malt,US Virgin Oak Octave,1,0,0,n/a,2018,25,5060334031939,220
21,Hip Flask Series No 4,47,20cL,Pale Spirit,French Virgin Octave,1,0,0,n/a,2018,25,5060334031946,220
22,Hip Flask Series No 5,47,20cL,Frankenstein’s Malt Bill,US Virgin Oak Octave,1,0,0,n/a,2018,25,5060334031953,220
23,Hip Flask Series No 6,47,20cL,Pale Spirit,Oloroso Sherry Hogshead,1,0,0,n/a,2018,25,5060334031960,1350
24,2018 Special Release,46.5,70cL,n/a,"Ex-oloroso, Pedro Ximenez and bourbon casks",1,0,0,n/a,2018,75,5060334032196,3200
25,Hip Flask Series No 7,47,20cL,Pale Malt,PX Sherry Hogshead,1,0,0,n/a,2019,25,5060334031984,1350
26,Hip Flask Series No 8,47,20cL,Pale Malt,Port Hogshead,1,0,0,n/a,2019,25,5060334032110,1200
27,Hip Flask Series No 9,47,20cL,Pale Spirit,Ex-PX Sherry Octaves & Ex-Brandy Cask,1,0,0,n/a,2019,25,5060334032127,1200
28,Hip Flask Series No 10,47,20cL,Pale Malt,Ex-Bourbon Barrel,1,0,0,n/a,2019,25,5060334032257,1200
29,Hip Flask Series No 11,47,20cL,Pale Malt,Ex-Oloroso Sherry Octave,1,0,0,n/a,2019,25,5060334032264,220
30,Hip Flask Series No 12,47,20cL,Pale Malt,Ex-Sherry Octave,1,0,0,n/a,2019,25,5060334032271,220
31,Hip Flask Series No 13,47,20cL,Chocoloate Malt,Virgin American Oak Barrel,1,0,0,n/a,2019,25,n/a,1200
32,Hip Flask Series No 14,47,20cL,Pale Malt,Australian Red Wine Hogshead,1,0,0,n/a,2019,25,5060334032325,1800
33,Hip Flask Series No 15,47,20cL,Pale Malt,US Virgin Oak,1,0,0,n/a,2019,25,5060334032752,1200
34,Treble Treble,47,70cL,n/a,"Bourbon and ex-oloroso, finished in Irish whiskey",0,1,0,Celtic FC Treble Treble (blended),2019,50,5060334032769,1000
35,2019 Special Release 70cL,46.5,70cL,n/a,"Oloroso & PX hogsheads, bourbon barrels",1,0,0,Box design by Hilke MacIntyre,2019,75,5060334032882,3200
36,2019 Special Release 20cL,46.5,20cL,n/a,"Oloroso & PX hogsheads, bourbon barrels",1,0,0,Box design by Hilke MacIntyre,2019,25,5060334032943,5000
